brand_id_xml,categ_id_xml,name,code,series_text,catalog_status,active,sequence,equivalent_type,feature_desc,special_applications,typical_applications,variant_adhesive_std,variant_adhesive_thickness,variant_adhesive_type,variant_base_material,variant_base_material_std,variant_color,variant_color_std,variant_datasheet_filename,variant_dupont,variant_fire_rating,variant_holding_power,variant_is_halogen_free,variant_is_reach,variant_is_rohs,variant_msds_filename,variant_pe_peel,variant_peel_strength,variant_push_force,variant_ref_price,variant_removability,variant_structure,variant_sus_peel,variant_tds_filename,variant_thickness,variant_thickness_std,variant_tumbler
brand_3m,category_tape_foam,3M VHB Tape RP+160GF,B5005359006,3M VHB,published,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.3m.com.cn/3M/zh_CN/p/d/b5005359006/,,,
brand_3m,category_tape_foam,3M VHB Tape 5708,B5005088026,3M VHB,published,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.3m.com.cn/3M/zh_CN/p/d/b5005088026/,,,
brand_3m,category_tape_foam,3M VHB Tape 4959,B40072034,3M VHB,published,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.3m.com.cn/3M/zh_CN/p/d/b40072034/,,,
brand_3m,category_tape_foam,3M VHB Tape 4936,B40072027,3M VHB,published,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.3m.com.cn/3M/zh_CN/p/d/b40072027/,,,
brand_3m,category_tape_foam,3M VHB Tape RP45,B40065648,3M VHB,published,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.3m.com.cn/3M/zh_CN/p/d/b40065648/,,,
brand_3m,category_tape_foam,3M VHB Tape LSE-060WF,B5005036159,3M VHB,published,1,10,,,,,,,,,,gray,gray,,,,,,,,,,,,,,,,https://www.3m.com.cn/3M/zh_CN/p/d/b5005036159/,1150mm,1150mm,
brand_3m,category_tape_foam,3M VHB Tape 4979,B40072035,3M VHB,published,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.3m.com.cn/3M/zh_CN/p/d/b40072035/,,,
brand_3m,category_tape_foam,3M VHB Tape 4941,B40072028,3M VHB,published,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.3m.com.cn/3M/zh_CN/p/d/b40072028/,,,
brand_3m,category_tape_foam,3M VHB Tape 4611,B40072021,3M VHB,published,1,10,,,,,,,,,,gray,gray,,,,,,,,,,,,,,,,https://www.3m.com.cn/3M/zh_CN/p/d/b40072021/,610mm,610mm,
brand_3m,category_tape_foam,3M VHB Tape RP62,B40071691,3M VHB,published,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.3m.com.cn/3M/zh_CN/p/d/b40071691/,,,
brand_3m,category_tape_foam,3M VHB Tape 5611N-GF,B5005405026,3M VHB,published,1,10,,,,,,,,,,gray,gray,,,,,,,,,,,,,,,,https://www.3m.com.cn/3M/zh_CN/p/d/b5005405026/,600mm,600mm,
brand_3m,category_tape_foam,3M VHB Tape RP+110GF,B5005359005,3M VHB,published,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.3m.com.cn/3M/zh_CN/p/d/b5005359005/,,,
brand_3m,category_tape_foam,3M VHB Tape 5962P,B5005321049,3M VHB,published,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.3m.com.cn/3M/zh_CN/p/d/b5005321049/,,,
brand_3m,category_tape_foam,3M VHB Tape 5711,B5005088027,3M VHB,published,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.3m.com.cn/3M/zh_CN/p/d/b5005088027/,,,
brand_3m,category_tape_foam,3M VHB Tape Max-160GF,B5005577012,3M VHB,published,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.3m.com.cn/3M/zh_CN/p/d/b5005577012/,1.6mm,1.6mm,
