series_xml_id,default_code,variant_thickness,variant_color,variant_adhesive_type,variant_base_material,variant_peel_strength,variant_adhesive_std,variant_base_material_std,variant_color_std,variant_fire_rating,variant_holding_power,variant_pe_peel,variant_sus_peel,variant_thickness_std
catalog_tesa_669xx,66932,50 µm,透明,改性丙烯酸,PET（聚酯）薄膜,7.6 N/cm,改性丙烯酸,PET（聚酯）薄膜,透明,none,,,,50 µm
catalog_tesa_669xx,66934,100 µm,透明,改性丙烯酸,PET（聚酯）薄膜,10.7 N/cm,改性丙烯酸,PET（聚酯）薄膜,透明,none,,,,100 µm
catalog_tesa_686xx,68618,150µm,透明,改性丙烯酸,无纺布,9 N/cm,改性丙烯酸,无纺布,透明,none,,,,150µm
catalog_tesa_686xx,68646,140 µm,半透明,改性丙烯酸,无纺布,9.8 N/cm,改性丙烯酸,无纺布,半透明,none,,,,140 µm
catalog_tesa_688xx,68878,150 µm,透明,丙烯酸,PET（聚酯）,13.5 N/cm,丙烯酸,PET（聚酯）,透明,none,,,,150 µm
catalog_tesa_688xx,68879,200 µm,透明,丙烯酸,PET（聚酯）,15.5 N/cm,丙烯酸,PET（聚酯）,透明,none,,,,200 µm
catalog_tesa_692xx,6928,125 µm,透明,改性丙烯酸,PET（聚酯）薄膜,9.6 N/cm,改性丙烯酸,PET（聚酯）薄膜,透明,none,,,,125 µm
catalog_tesa_496xx,4965,,黑色,,,,,,黑色,none,,,,
catalog_tesa_704xx,70415,150 µm,白色,特殊,无,13 N/cm,特殊,无,白色,none,,,,150 µm
catalog_tesa_704xx,70425,250 µm,白色,特殊,无,16 N/cm,特殊,无,白色,none,,,,250 µm
catalog_tesa_704xx,70499,1000 µm,白色,特殊,无,29 N/cm,特殊,无,白色,none,,,,1000 µm
catalog_tesa_706xx,70615,150 µm,黑色,特殊,无,13 N/cm,特殊,无,黑色,none,,,,150 µm
catalog_tesa_706xx,70620,200 µm,黑色,特殊,无,14 N/cm,特殊,无,黑色,none,,,,200 µm
catalog_tesa_706xx,70625,250 µm,黑色,特殊,无,16 N/cm,特殊,无,黑色,none,,,,250 µm
catalog_tesa_706xx,70630,300 µm,黑色,特殊,无,17 N/cm,特殊,无,黑色,none,,,,300 µm
catalog_tesa_706xx,70640,400 µm,黑色,特殊,无,19 N/cm,特殊,无,黑色,none,,,,400 µm
catalog_tesa_706xx,70680,800 µm,黑色,特殊,无,24 N/cm,特殊,无,黑色,none,,,,800 µm
catalog_tesa_706xx,70697,1300 µm,黑色,特殊,无,27 N/cm,特殊,无,黑色,none,,,,1300 µm
catalog_tesa_706xx,70699,1000 µm,黑色,特殊,无,26 N/cm,特殊,无,黑色,none,,,,1000 µm
catalog_tesa_751xx,75120,200 µm,黑色,改性丙烯酸,黑色丙烯酸泡棉,13 N/cm,改性丙烯酸,黑色丙烯酸泡棉,黑色,none,,,,200 µm
catalog_tesa_751xx,75125,250 µm,黑色,改性丙烯酸,丙烯酸泡棉,14.3 N/cm,改性丙烯酸,丙烯酸泡棉,黑色,none,,,,250 µm
catalog_tesa_751xx,75130,300 µm,黑色,改性丙烯酸,丙烯酸,16.5 N/cm,改性丙烯酸,丙烯酸,黑色,none,,,,300 µm
catalog_tesa_754xx,75405,50 µm,黑色,改性丙烯酸,丙烯酸,9.1 N/cm,改性丙烯酸,丙烯酸,黑色,none,,,,50 µm
catalog_tesa_754xx,75410,100 µm,黑色,改性丙烯酸,PE泡棉,11.6 N/cm,改性丙烯酸,PE泡棉,黑色,none,,,,100 µm
catalog_tesa_754xx,75415,150μm,黑色,改性丙烯酸,丙烯酸,14.1 N/cm,改性丙烯酸,丙烯酸,黑色,none,,,,150μm
catalog_tesa_754xx,75620,200 µm,黑色,改性丙烯酸,丙烯酸,15.5 N/cm,改性丙烯酸,丙烯酸,黑色,none,,,,200 µm
catalog_tesa_754xx,75625,250 µm,黑色,改性丙烯酸,丙烯酸,16 N/cm,改性丙烯酸,丙烯酸,黑色,none,,,,250 µm
catalog_tesa_754xx,75630,300 µm,黑色,改性丙烯酸,丙烯酸,17.5 N/cm,改性丙烯酸,丙烯酸,黑色,none,,,,300 µm
catalog_tesa_754xx,75635,350 µm,黑色,改性丙烯酸,丙烯酸,17 N/cm,改性丙烯酸,丙烯酸,黑色,none,,,,350 µm
catalog_tesa_754xx,75640,400 µm,黑色,改性丙烯酸,丙烯酸,17.5 N/cm,改性丙烯酸,丙烯酸,黑色,none,,,,400 µm
catalog_tesa_754xx,75645,450 µm,黑色,改性丙烯酸,丙烯酸,18 N/cm,改性丙烯酸,丙烯酸,黑色,none,,,,450 µm
catalog_tesa_754xx,75650,500 µm,黑色,改性丙烯酸,黑色丙烯酸泡棉,18 N/cm,改性丙烯酸,黑色丙烯酸泡棉,黑色,none,,,,500 µm
catalog_tesa_757xx,75710,100 µm,黑色,改性丙烯酸,PET,10 N/cm,改性丙烯酸,PET,黑色,none,,,,100 µm
