param_key,name,spec_category,canonical_name_zh,canonical_name_en,aliases_text,value_type,description,unit,preferred_unit,common_units,selection_options,is_main_field,main_field_name,parse_hint,target_bucket,target_field,scope_hint,section_hints,extraction_priority,llm_enabled,is_note_field,is_method_field,is_numeric_preferred,allow_series_fallback,confidence_rule,sequence,active
min_service_temp_c,最低工作温度,,最低工作温度,,,float,false,false,°C,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
construction_thickness_mil,结构厚度,,结构厚度,,,char,false,false,mil,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,10,1
hardness,硬度,,硬度,,,float,false,Shore C,Shore C,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,20,1
substrate_thickness,基材厚度,,基材厚度,,,float,false,μm,μm,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,20,1
carrier_thickness,载体厚度,,载体厚度,,,float,false,μm,μm,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,20,1
thermal_conductivity_z,厚向导热系数,,厚向导热系数,,,float,false,W/mK,W/mK,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,20,1
peel_180_painted_normal,涂装板-常温状态-180度剥离力,,涂装板-常温状态-180度剥离力,,,float,false,N/cm,N/cm,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,20,1
total_thickness,总厚度,,总厚度,,,float,false,μm,μm,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,30,1
breakdown_voltage,击穿电压,,击穿电压,,,float,false,kV,kV,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,30,1
compression_set,压缩永久变形,,压缩永久变形,,,float,false,%,%,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,30,1
conductive_direction,导电方向,,导电方向,,,selection,false,false,,,X Y Z XY XYZ,0,,,spec_values,,item,,50,1,0,0,0,0,,30,1
adhesive_system,胶系,,胶系,,,selection,false,false,,,丙烯酸 改性丙烯酸 硅胶 橡胶,0,,,spec_values,,item,,50,1,0,0,0,0,,30,1
dielectric_strength,介电强度,,介电强度,,,float,false,kV/mm,kV/mm,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,30,1
release_force,离型力,,离型力,,,float,false,gf/in,gf/in,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,30,1
